link,sources,success_rate,state,last,avg,last_run_at,vless,trojan,vmess,JP,KR,HK,SG,US,TW,domain
https://raw.githubusercontent.com/ebrasha/free-v2ray-public-list/refs/heads/main/all_extracted_configs.txt,manual,8/8,active,10385,10022.2,2026-08-21,5772,3728,885,1228,174,377,434,1449,53,6670
https://raw.githubusercontent.com/DukeMehdi/FreeList-V2ray-Configs/refs/heads/main/Configs/VLESS-DukeMehdi-Configs.txt,manual,8/8,active,6504,6502.9,2026-08-21,6504,0,0,504,334,157,206,967,21,4315
https://raw.githubusercontent.com/mheidari98/.proxy/main/all,manual,8/8,active,6474,5740.8,2026-08-21,2207,3556,711,1059,282,183,229,918,38,3765
https://raw.githubusercontent.com/DukeMehdi/FreeList-V2ray-Configs/refs/heads/main/Configs/TROJAN-DukeMehdi-Configs.txt,manual,8/8,active,4080,3697.2,2026-08-21,0,4080,0,1087,51,198,202,352,23,2167
https://raw.githubusercontent.com/sakha1370/OpenRay/main/output/all_valid_proxies.txt,sinspired_scan,8/8,active,3076,3071.8,2026-08-21,2447,541,88,77,73,100,161,384,11,2270
https://raw.githubusercontent.com/sevcator/5ubscrpt10n/main/mini/m1n1-5ub-14.txt,sinspired_scan,8/8,active,2260,2260.0,2026-08-21,1317,706,237,119,85,69,79,458,22,1428
https://raw.githubusercontent.com/xiaoji235/airport-free/main/v2ray.txt,manual,8/8,active,2143,2143.0,2026-08-21,996,1042,105,391,213,23,89,275,0,1152
https://raw.githubusercontent.com/xiaoji235/airport-free/refs/heads/main/v2ray/clashnodecc.txt,manual,8/8,active,2141,2141.0,2026-08-21,994,1042,105,391,213,23,89,275,0,1150
https://raw.githubusercontent.com/sevcator/5ubscrpt10n/main/mini/m1n1-5ub-19.txt,sinspired_scan,8/8,active,1939,1939.0,2026-08-21,1939,0,0,137,99,41,14,373,7,1268
https://raw.githubusercontent.com/SoliSpirit/v2ray-configs/main/all_configs.txt,manual,8/8,active,1568,1580.5,2026-08-21,1015,399,154,68,2,54,38,259,2,1145
https://raw.githubusercontent.com/liMilCo/v2r/main/configs.txt,sinspired_scan,8/8,active,1544,1544.0,2026-08-21,779,483,282,122,2,29,43,177,1,1170
